Network,IP,Compliance ,fShared,Ir90,Nr90,Ir180,Nr180,d90,d180,Is90,Ns90,Is180,Ns180,IShared90,NShared90,IShared180,NShared180,pIr90,pIr180,pIs90,pIs180,pIShared90,pIShared180,ORs90,RRs90
A,Const,0.8,0%,34.2807615,792.808878,56.5131058,809.777219,10.6514876,19.7848103,62.0055665,1081.16387,109.718625,1085.95807,0,0,0,0,43.2,69.8,57.4,101,0,0,1.04,1.04
A,Const,0.8,0%,20.4684695,787.106232,46.2829201,804.530657,5.81837653,16.9101836,53.7681313,1081.06329,101.8827,1085.35739,0,0,0,0,26,57.5,49.7,93.9,0,0,1.57,1.52
A,Const,0.8,0%,24.6897569,789.163577,45.8988626,803.49798,7.46144371,15.5566935,57.566415,1081.15279,103.319899,1085.49474,0,0,0,0,31.3,57.1,53.2,95.2,0,0,0.27,0.28
A,Const,0.8,0%,23.9233777,788.46289,59.8366846,808.538293,6.87729528,19.7508971,56.8578854,1081.1442,109.607515,1085.72413,0,0,0,0,30.3,74,52.6,101,0,0,0.56,0.58
A,Const,0.8,0%,29.196474,789.949085,57.9243984,809.637596,8.1333635,20.1862382,57.6519632,1081.06852,106.403645,1085.56995,0,0,0,0,37,71.5,53.3,98,0,0,0.85,0.85
A,Const,0.8,0%,25.3993991,789.187746,57.597352,807.289033,7.50041885,18.966565,56.2440018,1081.17103,111.135023,1085.75848,0,0,0,0,32.2,71.3,52,102.4,0,0,0.87,0.87
A,Const,0.8,0%,28.7845635,789.71552,51.8007495,806.756858,7.96769366,17.8535898,58.1502932,1081.10836,104.414746,1085.55533,0,0,0,0,36.4,64.2,53.8,96.2,0,0,0.55,0.56
A,Const,0.8,0%,21.9619858,787.12519,57.2646561,808.577406,5.69402709,20.0784055,53.6389902,1081.01905,109.232847,1085.62341,0,0,0,0,27.9,70.8,49.6,100.6,0,0,0.6,0.61
A,Const,0.8,0%,22.0693393,788.524819,56.1394328,807.345766,7.01819378,19.1448934,52.7660802,1081.07417,105.348957,1085.42334,0,0,0,0,28,69.5,48.8,97.1,0,0,1.26,1.24
A,Const,0.8,0%,19.5587577,785.280297,41.3305702,801.151764,4.26363484,14.4730469,53.2816655,1080.94688,102.513067,1085.2175,0,0,0,0,24.9,51.6,49.3,94.5,0,0,0.6,0.61
A,Const,0.8,0%,26.7687103,789.912037,53.8878728,806.975309,8.17289934,18.1335954,57.5189778,1081.1325,107.306712,1085.76908,0,0,0,0,33.9,66.8,53.2,98.8,0,0,0.56,0.57
A,Const,0.8,0%,24.8542625,788.648155,57.265704,808.762555,7.18658481,20.0530397,56.2646951,1081.08267,111.191005,1085.77099,0,0,0,0,31.5,70.8,52,102.4,0,0,0.57,0.58
A,Const,0.8,0%,22.5453296,788.169216,54.0092987,807.468615,6.6149241,18.7826639,57.6371787,1081.10345,111.447217,1085.96559,0,0,0,0,28.6,66.9,53.3,102.6,0,0,1.15,1.14
A,Const,0.8,0%,31.0518517,790.520826,57.4795134,809.003956,8.61267699,19.5246689,57.8463835,1081.08684,109.352517,1085.73673,0,0,0,0,39.3,71,53.5,100.7,0,0,0.84,0.85
A,Const,0.8,0%,30.907531,791.53929,64.9656841,813.155691,9.38598666,22.6854012,58.8475207,1081.24025,114.257761,1086.09125,0,0,0,0,39,79.9,54.4,105.2,0,0,0.54,0.56
A,Const,0.8,0%,24.5753386,788.827049,58.7363947,807.546474,7.11543676,19.032207,54.664293,1081.12519,107.604624,1085.49502,0,0,0,0,31.2,72.7,50.6,99.1,0,0,1.21,1.2
A,Const,0.8,0%,25.239232,789.770011,47.2616506,804.686995,7.93969089,16.461558,54.9097772,1081.11538,101.841732,1085.52437,0,0,0,0,32,58.7,50.8,93.8,0,0,1.21,1.19
