Network,IP,pShortage,Ir90,Nr90,Ir180,Nr180,d90,d180,Is90,Ns90,Is180,Ns180,pIr90,pIr180,pIs90,pIs180
A,Const,5%,22.7183942,789.3500927,54.32199467,806.7284202,7.556152466,18.40866518,54.75897744,1022.12172,105.1425447,1026.605271,28.8,67.3,53.6,102.4
A,Const,5%,18.97303158,786.8081003,43.96964816,802.3150741,5.593721204,15.38869571,51.32920903,1022.002906,97.60368582,1026.087951,24.1,54.8,50.2,95.1
A,Const,5%,29.36921089,791.680304,58.20123413,810.1669032,9.547008667,20.18770171,53.07782317,1022.057059,102.8422248,1026.274304,37.1,71.8,51.9,100.2
A,Const,5%,27.39903538,789.5136456,55.33378069,807.0490473,7.960652756,18.39897224,54.99184259,1022.027099,107.3191307,1026.413864,34.7,68.6,53.8,104.6
A,Const,5%,21.94445551,788.2195271,48.44738597,803.1497915,6.487907137,15.63806566,52.93975425,1022.027499,98.10966909,1026.216531,27.8,60.3,51.8,95.6
A,Const,5%,18.44487938,787.6315549,42.00183838,801.4710559,6.198893141,14.76149613,49.6046334,1022.050035,95.10082435,1026.126483,23.4,52.4,48.5,92.7
A,Const,5%,31.79759189,791.4799217,72.71283108,815.8046065,9.55472476,24.72517747,57.93975184,1022.075669,111.8027103,1026.685821,40.2,89.1,56.7,108.9
A,Const,5%,35.37871691,793.0019577,59.79974371,811.5148418,10.92654063,21.05403203,60.601806,1022.07177,104.0657472,1026.569574,44.6,73.7,59.3,101.4
A,Const,5%,23.75763345,787.3190588,52.57592684,806.2040359,5.938696596,17.9830898,54.74265013,1022.028981,104.00834,1026.448475,30.2,65.2,53.6,101.3
A,Const,5%,30.42876856,789.9137369,57.18298793,808.2874641,8.231703426,19.35554921,55.99236557,1022.087328,104.0398624,1026.416253,38.5,70.7,54.8,101.4
A,Const,5%,26.31127247,789.2813149,57.3484729,808.6805554,7.576470849,19.95962097,51.46602968,1022.100611,102.6304251,1026.34588,33.3,70.9,50.4,100
A,Const,5%,29.91763179,791.4629273,60.12835817,810.3228466,9.324097725,20.67731957,54.95653067,1022.117096,103.0325265,1026.598539,37.8,74.2,53.8,100.4
A,Const,5%,24.98592659,788.3097137,57.90269502,809.4587818,6.922490865,20.31969548,51.98618172,1021.967779,103.8295576,1026.312923,31.7,71.5,50.9,101.2
A,Const,5%,20.43461423,786.8522789,54.35289437,806.3869245,5.589194982,18.77519651,52.11056812,1021.968506,104.2444781,1026.322815,26,67.4,51,101.6
A,Const,5%,34.45564028,791.3135632,58.66304335,810.4347984,9.197472567,20.47321769,56.03916732,1022.054441,101.4290803,1026.34811,43.5,72.4,54.8,98.8
