IP,Day,Median,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",41,10.3,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",42,10.7,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",43,11.0,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",44,11.3,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",45,11.6,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",46,11.7,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",47,12.0,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",48,12.0,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",49,12.5,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",50,12.7,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",51,13.2,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",52,13.3,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",53,13.4,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",54,13.8,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",55,14.0,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",56,14.2,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",57,14.6,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",58,15.0,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",59,15.1,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",60,15.1,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",61,15.1,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",62,15.3,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",63,15.4,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",64,15.6,,,,,,,,,,,,,,,,,,,
"Beta (2, 117)",65,15.9,,,,,,,,,,,,,,,,,,,
